recordingId,trackId,frame,trackLifetime,xCenter,yCenter,heading,width,length,XVelocity,YVelocity,Acceleration,yAcceleration,lonVelocity,latVelocity,lonAcceleration,latAcceleration
1003,1,0,0,70.886576281,-21.9066845175,206.0,2.2641687938920088,4.346725185686152,-4.397040620000041,-1.8844459800000024,0,0,0,0,0,0
1003,1,3,3,70.446872219,-22.0951291155,206.0,2.2641687938920088,4.346725185686152,-4.24000345500005,-2.0414831449999937,0,0,0,0,0,0
1003,1,6,6,70.03857559,-22.3149811465,206.0,2.2641687938920088,4.346725185686152,-3.768891960000005,-1.8451866887499868,0,0,0,0,0,0
1003,1,9,9,69.693093827,-22.464166453249998,206.0,2.2641687938920088,4.346725185686152,-3.768891960000005,-1.570371650000002,0,0,0,0,0,0
1003,1,12,12,69.28479719799999,-22.6290554765,207.0,2.2641687938920088,4.346725185686152,-3.768891960000005,-1.4525937762500085,0,0,0,0,0,0
1003,1,15,15,68.939315435,-22.7546852085,207.0,2.2641687938920088,4.346725185686152,-3.768891960000005,-1.7274088149999933,0,0,0,0,0,0
1003,1,18,18,68.53101880599999,-22.9745372395,207.0,2.2641687938920088,4.346725185686152,-3.6118547950000135,-1.7274088149999933,0,0,0,0,0,0
1003,1,21,21,68.216944476,-23.1001669715,207.0,2.2641687938920088,4.346725185686152,-2.983706134999977,-1.570371650000002,0,0,0,0,0,0
1003,1,24,24,67.934277579,-23.2886115695,207.0,2.2641687938920088,4.346725185686152,-3.1407432999999685,-1.727408815000011,0,0,0,0,0,0
1003,1,27,27,67.588795816,-23.4456487345,207.0,2.2641687938920088,4.346725185686152,-3.454817630000022,-1.413334484999993,0,0,0,0,0,0
1003,1,30,30,67.24331405299999,-23.571278466499997,207.0,2.2641687938920088,4.346725185686152,-3.454817630000022,-1.5703716499999842,0,0,0,0,0,0
1003,1,33,33,66.89783229,-23.759723064499997,207.0,2.2641687938920088,4.346725185686152,-2.826668969999986,-1.727408815000011,0,0,0,0,0,0
1003,1,36,36,66.677980259,-23.9167602295,205.0,2.2641687938920088,4.346725185686152,-2.826668969999986,-1.4133344850000107,0,0,0,0,0,0
1003,1,39,39,66.332498496,-24.0423899615,205.0,2.2641687938920088,4.346725185686152,-3.1407432999999685,-1.413334484999993,0,0,0,0,0,0
1003,1,42,42,66.049831599,-24.199427126499998,205.0,2.2641687938920088,4.346725185686152,-2.826668969999986,-1.570371650000002,0,0,0,0,0,0
1003,1,45,45,65.767164702,-24.3564642915,205.0,2.2641687938920088,4.346725185686152,-2.6696318049999945,-1.2562973200000016,0,0,0,0,0,0
1003,1,48,48,65.515905238,-24.4506865905,205.0,2.2641687938920088,4.346725185686152,-2.355557475000012,-1.0992601549999925,0,0,0,0,0,0
1003,1,51,51,65.296053207,-24.5763163225,205.0,2.2641687938920088,4.346725185686152,-2.512594640000003,-1.4133344850000107,0,0,0,0,0,0
1003,1,54,54,65.01338631,-24.7333534875,205.0,2.2641687938920088,4.346725185686152,-2.512594640000003,-1.0992601549999925,0,0,0,0,0,0
1003,1,57,57,64.793534279,-24.796168353499997,205.0,2.2641687938920088,4.346725185686152,-2.1985203100000206,-0.9422229899999834,0,0,0,0,0,0
1003,1,60,60,64.573682248,-24.921798085499997,205.0,2.2641687938920088,4.346725185686152,-2.355557475000012,-1.0992601550000103,0,0,0,0,0,0
1003,1,63,63,64.322422784,-25.0160203845,205.0,2.2641687938920088,4.346725185686152,-2.159261018749987,-0.9422229900000012,0,0,0,0,0,0
1003,1,66,66,64.14183004425,-25.110242683499997,205.0,2.2641687938920088,4.346725185686152,-1.9237052712500002,-0.7851858249999921,0,0,0,0,0,0
1003,1,69,69,63.93768172975,-25.173057549499998,205.0,2.2641687938920088,4.346725185686152,-2.0414831450000293,-0.5103707862500073,0,0,0,0,0,0
1003,1,72,72,63.733533415249994,-25.21231684075,205.0,2.2641687938920088,4.346725185686152,-1.8451866887500046,-0.3925929125000138,0,0,0,0,0,0
1003,1,75,75,63.568644391999996,-25.251576132,202.0,2.2641687938920088,4.346725185686152,-1.2955566112499994,-0.5103707862500073,0,0,0,0,0,0
1003,1,78,78,63.474422092999994,-25.314390998,202.0,2.2641687938920088,4.346725185686152,-1.2562973200000016,-0.6281486600000008,0,0,0,0,0,0
1003,1,81,81,63.317384927999996,-25.377205864,202.0,2.2641687938920088,4.346725185686152,-1.5703716499999842,-0.6281486600000008,0,0,0,0,0,0
1003,1,84,84,63.160347763,-25.44002073,202.0,2.2641687938920088,4.346725185686152,-1.413334484999993,-0.3140743300000004,0,0,0,0,0,0
1003,1,87,87,63.034718031,-25.44002073,202.0,2.2641687938920088,4.346725185686152,-1.413334484999993,-0.628148659999983,0,0,0,0,0,0
1003,1,90,90,62.877680866,-25.565650461999997,201.0,2.2641687938920088,4.346725185686152,-1.0992601550000103,-0.7851858249999921,0,0,0,0,0,0
1003,1,93,93,62.814865999999995,-25.597057895,201.0,2.2641687938920088,4.346725185686152,-1.413334484999993,-0.15703716500000908,0,0,0,0,0,0
1003,1,96,96,62.595013969,-25.597057895,201.0,2.2641687938920088,4.346725185686152,-1.5703716499999842,-0.3140743300000004,0,0,0,0,0,0
1003,1,99,99,62.50079167,-25.659872761,201.0,2.2641687938920088,4.346725185686152,-1.2562973200000016,-0.6281486600000008,0,0,0,0,0,0
1003,1,102,102,62.343754505,-25.722687627,201.0,2.2641687938920088,4.346725185686152,-1.727408815000011,-0.6281486600000008,0,0,0,0,0,0
