recordingId,trackId,initialFrame,finalFrame,numFrames,width,length,class
4001,1,0,216,216,1.1971959779562857,2.678669238596356,car
4001,2,0,177,177,1.208268072292421,2.669631805,car
4001,3,0,261,261,1.2349153438459293,2.781641995829548,car
4001,4,0,126,126,1.2135630529728099,2.814954150100556,car
4001,5,0,129,129,1.195959417828113,2.7194194374587046,car
4001,6,0,78,78,1.1726376361107416,2.7613546552970245,car
4001,7,0,81,81,1.1384923705547738,2.672401612217427,car
4001,8,0,24,24,1.1064157075588792,2.587255802611994,car
4001,9,0,3,3,0,0,car
4001,10,0,306,306,1.0094448640821954,2.5221948260377416,car
4001,11,0,231,231,1.2037695124886238,2.653324030659354,car
4001,13,0,90,90,1.163771481787876,2.577132508278146,car
4001,14,0,186,186,1.036921050002334,2.735333186180684,car
4001,15,0,231,231,1.1918282848696218,2.522781405717607,car
4001,16,0,297,297,1.2456522112341974,2.6481141327254414,car
4001,17,0,324,324,1.1624993682922153,2.5756010076179914,car
4001,18,0,426,426,1.445083262817049,4.535955377676575,car
4001,19,0,426,426,1.202539711882377,2.337059146755858,car
4001,20,0,423,423,1.2707402368707041,2.6341082829615234,car
4001,21,0,480,480,1.055308443535004,2.4315925902196356,car
4001,22,0,447,447,1.1139681208827554,2.497236578868744,car
4001,24,0,587,587,1.2000763298925006,2.62209746731828,car
4001,32,0,141,141,1.0128592802336702,2.4386815012376606,car
4001,41,0,1325,1325,1.2313155829588385,2.812850821674792,car
4001,42,0,1370,1370,1.130667588,2.5756010076179914,car
4001,43,0,1645,1645,1.5104983610097922,5.918697208049783,car
4001,44,0,1780,1780,1.068314496171637,2.135705444,car
4001,45,0,1774,1774,1.068314496171637,2.387791276350185,car
4001,48,0,1427,1427,1.1951343336196394,2.548844290775632,car
4001,49,0,1478,1478,1.068314496171637,1.9181689554709702,car
4001,50,0,1711,1711,1.2000763298925006,2.994266791434291,car
4001,51,0,1756,1756,1.1951343336196394,2.7996692182154015,car
4001,52,0,1816,1816,1.069698622637894,1.9495390850130399,car
4001,53,0,1780,1780,0.94222299,1.9161108336814439,car
4001,55,0,1415,1415,1.163771481787876,2.671294033964888,car
4001,56,0,1463,1463,1.101053402774462,2.642893964616445,car
4001,57,0,1522,1522,1.1324111011219977,2.421633252430312,car
4001,58,0,1594,1594,1.1624993682922153,2.042449298932458,car
4001,59,0,1711,1711,1.257866711392658,2.770270902766194,car
4001,60,0,1756,1756,1.163771481787876,2.642893964616445,car
4001,61,0,1379,1379,1.1951343336196394,2.609842405782334,car
4001,62,0,1436,1436,1.1951343336196394,2.7369555131660834,car
4001,63,0,1522,1522,1.163771481787876,2.6115426905659738,car
4001,64,0,1256,1256,1.1918282848696218,2.821779139873756,car
4001,74,0,1349,1349,1.2119362921169121,2.6234138285925237,car
4001,75,0,1418,1418,1.2507889431763015,2.5994276113019574,car
4001,77,0,1271,1271,1.2456522112341974,2.5702335689015947,car
4001,78,0,1319,1319,1.0970144730733393,2.5994276113019574,car
4001,79,0,1454,1454,1.1582488993317908,2.6742465565947344,car
4001,80,0,1507,1507,1.2831003112488895,2.9812255696813508,car
4001,89,0,3210,3210,1.2719040962844494,2.654067466939188,car
4001,90,0,3210,3210,1.5402456195675485,6.072609099269316,car
4001,91,0,3210,3210,1.2507889431763015,2.882819139565808,car
4001,96,0,36,36,1.0992601549999999,2.1359363685229216,car
4001,97,0,162,162,1.1548372604060317,2.420818436373454,car
4001,98,0,222,222,1.2507889431763015,2.7272070752469726,car
4001,99,0,3210,3210,1.195959417828113,2.910233824612468,car
4001,101,0,2281,2281,1.0992601549999999,2.701039238,car
4001,102,0,2320,2320,1.193482454,2.6698165482136047,car
4001,128,0,2197,2197,1.2877047529999999,2.5440020729999997,car
4001,129,0,2254,2254,1.193482454,2.701039238,car
4001,130,0,2233,2233,1.2877047529999999,2.701039238,car
4001,148,0,2284,2284,1.2877047529999999,2.8580764029999997,car
4001,149,0,2293,2293,1.1938956381750925,2.82666897,car
4001,150,0,2398,2398,1.193482454,2.6698165482136047,car
4001,153,0,2395,2395,1.319112186,2.7012218331827675,car
4001,154,0,2452,2452,1.1311037182333843,2.324362244697726,car
4001,155,0,2488,2488,1.162075021,2.6698165482136047,car
4001,156,0,2508,2508,1.0992601549999999,2.7326271675269993,car
4001,157,0,2559,2559,1.1311037182333843,2.7326271675269993,car
4001,159,0,2613,2613,1.2252924802358505,2.5441959386564443,car
4001,183,0,3210,3210,1.1518437871901566,2.542644599525217,car
4001,184,0,3099,3099,0.997649582407738,1.995299164815476,car
4001,185,0,99,99,0,0,bicycle
4001,12,3,318,315,1.1688460908068872,2.816530615632855,car
4001,23,15,521,506,1.044031449072625,2.022063125500075,car
4001,46,42,1819,1777,0.9495231112256473,1.8731578409437983,car
4001,26,63,644,581,1.2633442284258367,2.676274526423427,car
4001,25,75,542,467,1.1350213491517385,2.826319976978113,car
4001,186,75,276,201,0,0,bicycle
4001,158,117,2586,2469,1.130667588,2.073128499444456,car
4001,28,123,692,569,1.2633442284258367,2.5962000404415986,car
4001,27,132,590,458,1.0557757043254605,2.477805621869968,car
4001,162,135,2649,2514,1.224889887,2.669631805,car
4001,187,135,330,195,0,0,bicycle
4001,123,138,566,428,1.2313155829588385,2.6948236403140626,car
4001,151,186,2338,2152,1.130667588,2.732446671,car
4001,29,189,665,476,1.0970144730733393,2.4305782008758308,car
4001,163,219,2682,2463,1.224889887,2.6070061335380434,car
4001,124,222,674,452,1.2123431869721288,2.7766728725632057,car
4001,188,234,360,126,0,0,bicycle
