recordingId,frame,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y
500,1018_0000,1902,660,2750,1225,1899,1715,1521,1137
500,1018_0003,1902,660,2750,1225,1899,1715,1521,1137
500,1018_0006,1902,660,2750,1225,1899,1715,1521,1137
500,1018_0009,1904,661,2752,1224,1900,1715,1521,1137
500,1018_0012,1904,661,2752,1224,1900,1715,1521,1137
500,1018_0015,1904,661,2752,1224,1900,1715,1521,1137
500,1018_0018,1904,661,2752,1224,1900,1715,1521,1137
500,1018_0021,1904,661,2752,1224,1900,1715,1521,1137
500,1018_0024,1904,661,2752,1224,1900,1715,1521,1137
500,1018_0027,1904,661,2752,1224,1900,1715,1521,1137
500,1018_0030,1904,661,2752,1224,1900,1715,1521,1137
500,1018_0033,1904,661,2752,1224,1900,1715,1521,1137
500,1018_0036,1904,661,2752,1224,1900,1715,1521,1137
500,1018_0039,1907,660,2754,1223,1902,1714,1523,1136
500,1018_0042,1907,660,2754,1223,1902,1714,1523,1136
500,1018_0045,1907,660,2754,1223,1902,1714,1523,1136
500,1018_0048,1906,660,2754,1223,1902,1714,1523,1136
500,1018_0051,1906,660,2754,1223,1902,1714,1523,1136
500,1018_0054,1906,659,2754,1223,1902,1714,1523,1136
500,1018_0057,1906,659,2754,1223,1902,1714,1523,1136
500,1018_0060,1906,659,2754,1223,1902,1714,1523,1136
500,1018_0063,1906,659,2754,1223,1902,1714,1523,1136
500,1018_0066,1906,659,2754,1223,1902,1714,1523,1136
500,1018_0069,1903,659,2750,1223,1898,1714,1520,1135
500,1018_0072,1903,659,2750,1223,1898,1714,1520,1135
500,1018_0075,1903,659,2750,1223,1898,1714,1520,1135
500,1018_0078,1901,658,2749,1223,1896,1714,1518,1134
500,1018_0081,1901,658,2749,1223,1896,1714,1518,1134
500,1018_0084,1901,658,2749,1223,1896,1714,1518,1134
500,1018_0087,1901,658,2749,1223,1896,1714,1518,1134
500,1018_0090,1899,657,2747,1222,1896,1713,1517,1134
500,1018_0093,1899,657,2747,1222,1896,1713,1517,1134
500,1018_0096,1899,657,2747,1222,1896,1713,1517,1134
500,1018_0099,1899,657,2747,1222,1896,1713,1517,1134
500,1018_0102,1896,658,2745,1223,1893,1714,1514,1135
500,1018_0105,1896,658,2745,1223,1893,1714,1514,1135
500,1018_0108,1896,658,2745,1223,1893,1714,1514,1135
500,1018_0111,1896,658,2745,1223,1893,1714,1514,1135
500,1018_0114,1896,658,2745,1223,1893,1714,1514,1135
500,1018_0117,1894,657,2742,1222,1890,1714,1510,1136
500,1018_0120,1894,657,2742,1222,1890,1714,1510,1136
500,1018_0123,1894,657,2742,1222,1890,1714,1510,1136
500,1018_0126,1891,657,2740,1222,1888,1714,1509,1135
500,1018_0129,1891,657,2740,1222,1888,1714,1509,1135
500,1018_0132,1891,657,2740,1222,1888,1714,1509,1135
500,1018_0135,1891,657,2740,1222,1888,1714,1507,1134
500,1018_0138,1891,657,2740,1222,1888,1714,1507,1134
500,1018_0141,1889,656,2740,1222,1887,1714,1506,1135
500,1018_0144,1889,656,2740,1222,1887,1714,1506,1135
500,1018_0147,1889,656,2740,1222,1887,1714,1506,1135
500,1018_0150,1889,656,2740,1222,1887,1714,1506,1135
500,1018_0153,1889,656,2740,1222,1887,1714,1506,1135
500,1018_0156,1887,655,2737,1221,1885,1714,1504,1134
500,1018_0159,1887,655,2737,1221,1885,1714,1504,1134
500,1018_0162,1887,655,2737,1221,1885,1714,1504,1134
500,1018_0165,1884,652,2733,1220,1881,1713,1501,1133
500,1018_0168,1884,652,2733,1220,1881,1713,1501,1133
500,1018_0171,1884,652,2730,1218,1877,1712,1497,1133
500,1018_0174,1881,652,2730,1218,1877,1712,1497,1133
500,1018_0177,1878,654,2727,1216,1877,1712,1495,1131
500,1018_0180,1877,654,2727,1216,1877,1712,1493,1132
500,1018_0183,1877,654,2727,1216,1877,1712,1493,1132
500,1018_0186,1876,652,2725,1216,1874,1711,1493,1132
500,1018_0189,1876,652,2725,1216,1874,1711,1493,1132
500,1018_0192,1876,652,2725,1216,1874,1711,1493,1132
500,1018_0195,1876,652,2725,1216,1874,1711,1493,1132
500,1018_0198,1876,652,2725,1216,1874,1711,1493,1132
500,1018_0201,1876,652,2725,1216,1874,1711,1493,1132
500,1018_0204,1873,652,2721,1215,1873,1709,1493,1132
