recordingId,frame,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y
500,1003_0000,1677,642,2293,908,2236,1496,1256,1488
500,1003_0003,1677,642,2293,908,2236,1496,1256,1488
500,1003_0006,1677,642,2293,908,2236,1496,1256,1488
500,1003_0009,1677,642,2293,908,2236,1496,1256,1488
500,1003_0012,1677,642,2293,908,2236,1496,1256,1488
500,1003_0015,1677,642,2293,908,2236,1496,1256,1488
500,1003_0018,1677,642,2293,908,2236,1496,1256,1488
500,1003_0021,1677,642,2293,908,2234,1496,1256,1488
500,1003_0024,1677,642,2293,908,2236,1496,1256,1488
500,1003_0027,1677,642,2293,908,2236,1496,1256,1488
500,1003_0030,1677,642,2293,908,2236,1496,1256,1488
500,1003_0033,1677,642,2293,908,2236,1496,1256,1488
500,1003_0036,1673,645,2289,909,2233,1498,1253,1491
500,1003_0039,1672,644,2288,910,2233,1500,1251,1492
500,1003_0042,1670,646,2286,911,2232,1500,1251,1492
500,1003_0045,1670,644,2289,911,2231,1498,1253,1490
500,1003_0048,1671,646,2288,910,2232,1497,1250,1491
500,1003_0051,1669,645,2289,912,2231,1499,1252,1492
500,1003_0054,1671,647,2290,913,2231,1499,1256,1488
500,1003_0057,1667,649,2290,914,2230,1497,1252,1493
500,1003_0060,1668,646,2293,908,2230,1500,1249,1495
500,1003_0063,1666,648,2285,910,2229,1500,1246,1495
500,1003_0066,1667,648,2283,911,2229,1500,1246,1492
500,1003_0069,1667,648,2286,911,2229,1500,1246,1492
500,1003_0072,1665,648,2282,912,2229,1500,1246,1492
500,1003_0075,1667,648,2286,911,2229,1500,1246,1492
500,1003_0078,1667,648,2286,911,2229,1500,1246,1492
500,1003_0081,1667,648,2286,911,2229,1500,1246,1492
500,1003_0084,1667,648,2286,911,2229,1500,1246,1492
500,1003_0087,1667,648,2286,911,2229,1500,1246,1492
500,1003_0090,1667,648,2286,911,2229,1500,1246,1492
500,1003_0093,1667,648,2286,911,2229,1500,1246,1492
500,1003_0096,1667,648,2286,911,2229,1500,1246,1492
500,1003_0099,1667,648,2286,911,2229,1500,1246,1492
500,1003_0102,1667,648,2286,911,2229,1500,1246,1492
500,1003_0105,1667,648,2286,911,2229,1500,1246,1492
500,1003_0108,1667,648,2286,911,2229,1500,1246,1492
500,1003_0111,1667,648,2286,911,2229,1500,1246,1492
500,1003_0114,1667,648,2286,911,2229,1500,1246,1492
500,1003_0117,1667,648,2286,911,2229,1500,1246,1492
500,1003_0120,1667,648,2286,911,2229,1500,1246,1492
500,1003_0123,1667,648,2286,911,2229,1500,1246,1492
500,1003_0126,1667,648,2286,911,2229,1500,1246,1492
500,1003_0129,1667,648,2286,911,2229,1500,1246,1492
500,1003_0132,1667,648,2286,911,2229,1500,1246,1492
500,1003_0135,1667,648,2286,911,2229,1500,1246,1492
500,1003_0138,1667,648,2286,911,2229,1500,1246,1492
500,1003_0141,1667,648,2286,911,2229,1500,1246,1492
500,1003_0144,1667,648,2286,911,2229,1500,1246,1492
500,1003_0147,1667,648,2286,911,2229,1500,1246,1492
500,1003_0150,1667,648,2286,911,2229,1500,1246,1492
500,1003_0153,1662,652,2283,913,2227,1503,1246,1497
500,1003_0156,1662,652,2285,913,2227,1503,1246,1500
