recordingId,frame,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y
500,1013_0000,1857,667,2695,1219,1860,1709,1482,1138
500,1013_0003,1857,667,2695,1219,1860,1709,1482,1138
500,1013_0006,1857,667,2695,1219,1860,1709,1483,1140
500,1013_0009,1859,668,2697,1219,1862,1709,1484,1141
500,1013_0012,1859,668,2698,1219,1865,1709,1486,1140
500,1013_0015,1864,668,2698,1219,1865,1709,1487,1141
500,1013_0018,1864,668,2701,1219,1868,1709,1489,1141
500,1013_0021,1864,667,2702,1219,1866,1709,1490,1138
500,1013_0024,1864,667,2705,1219,1871,1708,1492,1139
500,1013_0027,1870,667,2707,1220,1871,1708,1494,1139
500,1013_0030,1870,667,2707,1220,1873,1709,1494,1139
500,1013_0033,1870,667,2710,1220,1874,1708,1498,1142
500,1013_0036,1873,667,2710,1220,1875,1708,1498,1142
500,1013_0039,1873,668,2712,1223,1875,1709,1498,1138
500,1013_0042,1874,667,2712,1219,1877,1708,1501,1138
500,1013_0045,1876,667,2713,1221,1876,1708,1499,1138
500,1013_0048,1875,668,2713,1220,1876,1708,1500,1137
500,1013_0051,1875,668,2714,1220,1878,1709,1500,1139
500,1013_0054,1875,669,2714,1220,1878,1709,1500,1139
500,1013_0057,1877,668,2716,1219,1878,1709,1502,1141
500,1013_0060,1877,667,2714,1225,1880,1709,1502,1138
500,1013_0063,1877,668,2716,1223,1879,1710,1502,1142
500,1013_0066,1877,668,2716,1222,1878,1710,1502,1138
500,1013_0069,1879,667,2716,1222,1879,1709,1501,1138
500,1013_0072,1878,667,2717,1223,1878,1709,1502,1139
500,1013_0075,1877,666,2718,1222,1880,1709,1502,1138
500,1013_0078,1877,665,2718,1222,1878,1710,1501,1138
500,1013_0081,1878,666,2718,1220,1878,1709,1503,1137
500,1013_0084,1879,666,2718,1221,1879,1709,1502,1137
500,1013_0087,1879,667,2718,1221,1879,1710,1502,1138
500,1013_0090,1878,666,2718,1222,1880,1710,1502,1138
500,1013_0093,1879,666,2718,1219,1879,1710,1502,1138
500,1013_0096,1877,665,2718,1222,1880,1709,1502,1138
500,1013_0099,1878,667,2718,1220,1878,1709,1501,1138
500,1013_0102,1877,666,2718,1219,1876,1710,1500,1138
500,1013_0105,1876,664,2717,1221,1877,1711,1500,1139
500,1013_0108,1876,665,2717,1217,1877,1711,1498,1139
500,1013_0111,1875,665,2716,1221,1876,1711,1498,1138
500,1013_0114,1875,666,2716,1219,1875,1710,1499,1139
500,1013_0117,1875,666,2716,1219,1875,1710,1499,1139
500,1013_0120,1871,665,2717,1219,1876,1713,1496,1141
500,1013_0123,1871,664,2717,1220,1876,1712,1496,1142
500,1013_0126,1871,664,2716,1219,1874,1713,1499,1139
500,1013_0129,1874,666,2714,1223,1875,1710,1496,1139
500,1013_0132,1873,666,2713,1222,1875,1710,1495,1139
500,1013_0135,1872,666,2714,1222,1875,1710,1495,1140
500,1013_0138,1871,666,2712,1220,1871,1710,1496,1142
500,1013_0141,1871,666,2711,1222,1873,1712,1495,1142
500,1013_0144,1870,665,2711,1222,1872,1712,1495,1141
500,1013_0147,1871,666,2712,1221,1873,1712,1494,1140
500,1013_0150,1871,665,2714,1220,1875,1710,1496,1139
500,1013_0153,1871,665,2714,1220,1875,1710,1496,1139
500,1013_0156,1871,665,2714,1220,1875,1710,1496,1139
500,1013_0159,1871,665,2714,1220,1875,1710,1496,1139
500,1013_0162,1871,665,2717,1220,1875,1710,1496,1139
500,1013_0165,1874,665,2718,1222,1875,1713,1496,1139
500,1013_0168,1874,665,2720,1221,1877,1715,1496,1141
500,1013_0171,1874,665,2719,1221,1879,1712,1497,1141
500,1013_0174,1874,665,2719,1221,1879,1712,1497,1141
500,1013_0177,1874,665,2719,1221,1879,1712,1497,1141
500,1013_0180,1874,665,2722,1221,1880,1713,1497,1139
500,1013_0183,1874,665,2719,1221,1879,1712,1497,1141
500,1013_0186,1877,662,2721,1221,1880,1713,1499,1138
500,1013_0189,1877,662,2723,1219,1880,1713,1499,1139
500,1013_0192,1877,662,2723,1219,1880,1713,1499,1139
500,1013_0195,1877,662,2723,1219,1879,1711,1501,1139
500,1013_0198,1877,662,2725,1219,1883,1712,1502,1139
500,1013_0201,1880,661,2726,1219,1883,1713,1503,1139
500,1013_0204,1880,661,2726,1219,1883,1713,1503,1139
500,1013_0207,1883,663,2726,1219,1883,1713,1505,1139
500,1013_0210,1883,662,2728,1223,1886,1712,1506,1139
500,1013_0213,1883,662,2729,1222,1886,1713,1508,1139
500,1013_0216,1883,662,2731,1222,1886,1713,1508,1139
500,1013_0219,1891,662,2731,1222,1888,1713,1510,1139
500,1013_0222,1889,663,2735,1222,1889,1709,1511,1139
500,1013_0225,1891,662,2737,1223,1891,1713,1512,1139
500,1013_0228,1891,662,2736,1222,1893,1712,1513,1137
500,1013_0231,1893,662,2736,1225,1893,1711,1516,1138
500,1013_0234,1892,662,2737,1223,1895,1713,1516,1138
500,1013_0237,1892,662,2737,1223,1895,1713,1516,1138
500,1013_0240,1896,662,2742,1223,1898,1711,1517,1138
500,1013_0243,1896,662,2742,1223,1898,1711,1517,1138
500,1013_0246,1897,662,2742,1223,1898,1711,1519,1138
500,1013_0249,1897,662,2742,1223,1898,1711,1519,1138
500,1013_0252,1898,662,2743,1223,1899,1711,1520,1138
500,1013_0255,1898,662,2743,1223,1899,1711,1520,1138
500,1013_0258,1898,662,2743,1223,1899,1711,1520,1138
500,1013_0261,1898,662,2743,1223,1899,1711,1520,1138
500,1013_0264,1898,662,2743,1223,1899,1711,1520,1138
500,1013_0267,1898,662,2743,1223,1899,1711,1520,1138
500,1013_0270,1898,662,2743,1223,1899,1711,1520,1138
500,1013_0273,1898,662,2743,1223,1899,1711,1520,1138
500,1013_0276,1896,660,2743,1221,1897,1712,1518,1137
500,1013_0279,1896,660,2739,1221,1897,1712,1518,1137
500,1013_0282,1896,660,2739,1221,1897,1712,1518,1137
500,1013_0285,1893,660,2741,1221,1895,1711,1516,1136
500,1013_0288,1893,660,2741,1221,1895,1711,1516,1136
500,1013_0291,1893,660,2741,1221,1895,1711,1516,1136
500,1013_0294,1893,660,2741,1221,1894,1711,1516,1137
500,1013_0297,1893,660,2741,1221,1894,1711,1516,1137
500,1013_0300,1896,660,2741,1223,1894,1711,1516,1137
500,1013_0303,1893,660,2741,1221,1894,1711,1516,1137
500,1013_0306,1894,661,2742,1224,1894,1713,1516,1138
500,1013_0309,1894,661,2742,1224,1894,1713,1516,1138
500,1013_0312,1894,661,2742,1224,1894,1713,1516,1138
500,1013_0315,1894,661,2740,1224,1894,1713,1516,1138
500,1013_0318,1894,661,2740,1224,1894,1713,1516,1138
500,1013_0321,1894,661,2740,1222,1894,1713,1516,1138
500,1013_0324,1894,661,2740,1224,1894,1713,1516,1138
