recordingId,frame,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y
500,1004_0000,1967,1667,1055,1063,1959,523,2378,1148
500,1004_0003,1965,1668,1057,1064,1963,526,2381,1150
500,1004_0006,1965,1668,1057,1064,1962,526,2377,1150
500,1004_0009,1965,1668,1057,1064,1962,526,2377,1150
500,1004_0012,1965,1668,1057,1064,1962,526,2377,1150
500,1004_0015,1965,1668,1055,1067,1961,527,2377,1151
500,1004_0018,1965,1668,1055,1067,1961,527,2377,1151
500,1004_0021,1965,1668,1055,1067,1961,527,2377,1151
500,1004_0024,1965,1668,1055,1067,1961,527,2377,1151
500,1004_0027,1965,1668,1055,1067,1961,527,2377,1151
500,1004_0030,1968,1669,1056,1067,1962,527,2378,1151
500,1004_0033,1968,1669,1057,1067,1962,527,2378,1151
500,1004_0036,1968,1669,1058,1067,1962,528,2379,1152
500,1004_0039,1968,1669,1058,1067,1962,528,2379,1152
500,1004_0042,1968,1669,1059,1067,1962,528,2379,1152
500,1004_0045,1970,1670,1061,1067,1962,528,2381,1152
500,1004_0048,1970,1670,1060,1066,1962,528,2381,1152
500,1004_0051,1970,1670,1060,1066,1962,528,2381,1152
500,1004_0054,1970,1670,1060,1066,1962,528,2381,1152
500,1004_0057,1970,1670,1060,1066,1962,528,2381,1152
500,1004_0060,1969,1671,1059,1066,1962,528,2379,1152
500,1004_0063,1969,1671,1059,1066,1962,528,2379,1152
500,1004_0066,1969,1671,1059,1066,1962,528,2379,1152
500,1004_0069,1969,1671,1059,1066,1962,528,2379,1152
500,1004_0072,1969,1671,1059,1066,1962,528,2379,1152
500,1004_0075,1969,1671,1059,1066,1962,528,2379,1152
500,1004_0078,1969,1671,1058,1066,1962,528,2379,1152
500,1004_0081,1969,1671,1058,1066,1961,528,2378,1152
500,1004_0084,1967,1671,1057,1066,1960,529,2378,1152
500,1004_0087,1966,1671,1057,1066,1960,529,2378,1152
500,1004_0090,1966,1671,1056,1066,1960,529,2377,1152
500,1004_0093,1966,1671,1056,1066,1960,529,2377,1152
500,1004_0096,1966,1671,1055,1068,1960,529,2377,1152
500,1004_0099,1966,1671,1055,1068,1959,530,2376,1152
500,1004_0102,1966,1671,1055,1068,1959,530,2376,1152
500,1004_0105,1966,1671,1055,1068,1959,530,2376,1152
500,1004_0108,1966,1671,1055,1068,1959,530,2376,1152
500,1004_0111,1966,1671,1055,1068,1959,530,2376,1152
500,1004_0114,1966,1671,1055,1068,1959,530,2376,1152
500,1004_0117,1967,1672,1055,1068,1959,530,2377,1152
500,1004_0120,1967,1672,1055,1068,1959,530,2377,1152
500,1004_0123,1968,1672,1056,1068,1959,530,2377,1152
500,1004_0126,1968,1672,1056,1068,1960,530,2378,1152
500,1004_0129,1968,1672,1056,1068,1960,530,2378,1152
500,1004_0132,1968,1672,1056,1068,1960,530,2378,1152
500,1004_0135,1968,1672,1056,1068,1960,530,2378,1152
500,1004_0138,1970,1672,1058,1068,1960,530,2380,1153
500,1004_0141,1970,1672,1059,1068,1960,530,2380,1153
500,1004_0144,1972,1672,1059,1068,1960,530,2382,1152
500,1004_0147,1972,1672,1060,1068,1962,530,2382,1152
500,1004_0150,1972,1672,1060,1068,1962,530,2382,1152
500,1004_0153,1974,1673,1060,1068,1962,529,2383,1151
500,1004_0156,1974,1673,1060,1068,1962,529,2383,1151
500,1004_0159,1974,1673,1060,1068,1965,529,2383,1151
500,1004_0162,1974,1673,1060,1068,1965,529,2383,1151
500,1004_0165,1974,1673,1060,1068,1965,529,2383,1151
500,1004_0168,1974,1673,1062,1068,1965,529,2385,1151
500,1004_0171,1976,1673,1062,1068,1965,529,2385,1151
500,1004_0174,1976,1673,1064,1068,1966,529,2385,1151
500,1004_0177,1976,1673,1064,1068,1966,529,2388,1151
500,1004_0180,1979,1673,1065,1068,1968,529,2388,1151
500,1004_0183,1979,1673,1065,1068,1968,529,2388,1151
500,1004_0186,1979,1673,1066,1068,1968,529,2389,1151
500,1004_0189,1979,1673,1066,1068,1968,529,2389,1151
500,1004_0192,1979,1673,1066,1068,1968,529,2389,1151
500,1004_0195,1980,1673,1066,1072,1969,528,2391,1151
500,1004_0198,1980,1673,1066,1072,1970,528,2391,1151
500,1004_0201,1980,1673,1067,1072,1970,528,2391,1151
500,1004_0204,1980,1673,1067,1072,1970,528,2391,1151
500,1004_0207,1983,1673,1067,1072,1970,528,2391,1151
500,1004_0210,1983,1673,1067,1072,1970,528,2391,1151
500,1004_0213,1983,1673,1067,1072,1970,528,2391,1151
500,1004_0216,1983,1673,1067,1072,1970,528,2391,1151
500,1004_0219,1983,1673,1067,1072,1970,528,2391,1151
500,1004_0222,1983,1673,1067,1072,1970,528,2391,1151
500,1004_0225,1983,1673,1067,1072,1970,528,2391,1151
500,1004_0228,1983,1673,1067,1072,1970,528,2393,1152
500,1004_0231,1985,1673,1069,1073,1970,528,2393,1152
500,1004_0234,1985,1673,1069,1073,1970,528,2393,1152
500,1004_0237,1985,1673,1069,1073,1970,528,2393,1152
500,1004_0240,1985,1673,1069,1073,1970,528,2393,1152
500,1004_0243,1985,1673,1069,1073,1970,528,2393,1152
500,1004_0246,1985,1673,1069,1073,1970,528,2393,1152
500,1004_0249,1985,1673,1069,1073,1970,528,2393,1152
500,1004_0252,1985,1673,1069,1073,1970,528,2396,1153
500,1004_0255,1985,1673,1069,1073,1970,528,2396,1153
500,1004_0258,1986,1674,1071,1074,1974,528,2397,1151
500,1004_0261,1986,1674,1071,1074,1974,528,2397,1151
500,1004_0264,1986,1674,1071,1074,1974,528,2397,1151
500,1004_0267,1986,1674,1071,1074,1974,528,2397,1151
500,1004_0270,1986,1674,1072,1074,1975,528,2397,1151
500,1004_0273,1986,1674,1072,1074,1975,528,2397,1151
500,1004_0276,1986,1674,1072,1074,1975,528,2397,1151
500,1004_0279,1986,1674,1072,1074,1975,528,2397,1151
500,1004_0282,1986,1674,1072,1074,1975,528,2397,1151
500,1004_0285,1986,1674,1072,1074,1975,528,2397,1151
500,1004_0288,1990,1675,1072,1074,1975,527,2400,1150
500,1004_0291,1990,1675,1072,1074,1975,527,2400,1150
500,1004_0294,1990,1675,1074,1074,1975,527,2400,1150
500,1004_0297,1990,1675,1074,1074,1975,527,2400,1150
500,1004_0300,1992,1675,1077,1074,1975,527,2400,1150
500,1004_0303,1994,1674,1077,1074,1978,526,2402,1150
500,1004_0306,1994,1674,1077,1074,1978,526,2402,1150
500,1004_0309,1994,1674,1077,1074,1978,526,2404,1151
500,1004_0312,1994,1674,1077,1074,1978,526,2404,1148
500,1004_0315,1994,1674,1077,1074,1978,526,2404,1148
500,1004_0318,1994,1674,1077,1074,1981,526,2404,1148
500,1004_0321,1994,1674,1078,1074,1981,526,2404,1148
500,1004_0324,1994,1674,1078,1074,1981,526,2404,1148
500,1004_0327,1994,1674,1078,1074,1981,526,2404,1148
500,1004_0330,1994,1674,1078,1074,1981,526,2403,1148
500,1004_0333,1994,1673,1078,1074,1981,526,2403,1148
500,1004_0336,1994,1673,1078,1074,1980,525,2403,1148
500,1004_0339,1994,1673,1078,1074,1980,525,2403,1148
