recordingId,frame,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y
500,1016_0000,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0003,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0006,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0009,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0012,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0015,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0018,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0021,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0024,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0027,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0030,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0033,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0036,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0039,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0042,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0045,1878,653,2722,1219,1871,1708,1496,1130
500,1016_0048,1881,654,2724,1220,1871,1708,1498,1132
500,1016_0051,1881,654,2724,1220,1871,1708,1498,1132
500,1016_0054,1881,657,2723,1225,1871,1708,1498,1132
500,1016_0057,1881,657,2723,1225,1871,1708,1498,1132
500,1016_0060,1881,657,2723,1225,1871,1708,1498,1132
500,1016_0063,1881,657,2723,1225,1871,1708,1498,1132
500,1016_0066,1881,657,2723,1225,1871,1708,1498,1132
500,1016_0069,1881,657,2723,1225,1871,1708,1498,1132
500,1016_0072,1881,657,2723,1225,1871,1708,1498,1132
500,1016_0075,1881,657,2723,1225,1871,1708,1498,1132
500,1016_0078,1881,657,2723,1225,1871,1708,1498,1132
500,1016_0081,1881,657,2723,1225,1871,1708,1498,1132
500,1016_0084,1881,657,2723,1225,1871,1708,1498,1132
500,1016_0087,1881,657,2723,1225,1871,1708,1498,1132
500,1016_0090,1881,657,2723,1225,1871,1708,1498,1132
500,1016_0093,1881,657,2723,1225,1871,1708,1498,1132
500,1016_0096,1885,658,2726,1226,1874,1711,1499,1132
500,1016_0099,1888,656,2731,1225,1876,1710,1503,1133
500,1016_0102,1888,656,2731,1225,1876,1710,1503,1133
500,1016_0105,1888,656,2731,1225,1876,1710,1503,1133
500,1016_0108,1888,656,2731,1225,1876,1710,1503,1133
500,1016_0111,1890,657,2732,1226,1880,1712,1505,1132
500,1016_0114,1890,657,2732,1226,1880,1712,1505,1132
500,1016_0117,1890,657,2732,1226,1880,1712,1505,1132
