recordingId,frame,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y
500,6004_0000,1795,614,2321,1083,1864,1574,1501,1103
500,6004_0003,1795,614,2321,1083,1864,1574,1501,1103
500,6004_0006,1795,614,2321,1083,1864,1574,1501,1103
500,6004_0009,1795,614,2321,1083,1865,1574,1501,1103
500,6004_0012,1795,614,2321,1083,1865,1574,1501,1103
500,6004_0015,1798,617,2321,1082,1865,1574,1501,1103
500,6004_0018,1797,615,2322,1083,1867,1573,1502,1103
500,6004_0021,1797,614,2322,1083,1867,1573,1503,1103
500,6004_0024,1797,614,2323,1083,1867,1573,1503,1103
500,6004_0027,1797,614,2323,1082,1869,1574,1503,1103
500,6004_0030,1798,614,2323,1082,1869,1574,1503,1104
500,6004_0033,1795,612,2323,1082,1869,1574,1503,1104
500,6004_0036,1795,612,2323,1081,1868,1574,1502,1103
500,6004_0039,1795,612,2323,1081,1868,1574,1502,1103
500,6004_0042,1796,613,2323,1081,1868,1574,1502,1103
500,6004_0045,1796,613,2323,1081,1867,1573,1502,1103
500,6004_0048,1796,613,2323,1081,1867,1573,1502,1103
500,6004_0051,1796,613,2323,1081,1867,1573,1502,1103
500,6004_0054,1795,613,2322,1081,1867,1573,1501,1103
500,6004_0057,1795,613,2322,1081,1867,1573,1501,1103
500,6004_0060,1794,612,2320,1081,1867,1573,1500,1102
500,6004_0063,1794,612,2320,1081,1867,1573,1500,1102
500,6004_0066,1794,612,2320,1081,1867,1573,1500,1102
500,6004_0069,1793,611,2318,1080,1865,1571,1499,1101
500,6004_0072,1793,611,2318,1080,1865,1571,1499,1101
500,6004_0075,1793,611,2318,1080,1865,1571,1499,1101
500,6004_0078,1793,611,2318,1080,1865,1571,1499,1101
500,6004_0081,1793,610,2318,1080,1865,1571,1498,1101
500,6004_0084,1793,610,2319,1079,1865,1571,1499,1100
500,6004_0087,1793,610,2319,1079,1865,1571,1499,1100
500,6004_0090,1793,609,2319,1079,1864,1570,1498,1100
500,6004_0093,1794,609,2319,1079,1864,1570,1498,1099
500,6004_0096,1794,609,2319,1078,1864,1570,1498,1099
500,6004_0099,1794,609,2319,1078,1864,1570,1498,1099
500,6004_0102,1793,609,2320,1078,1864,1570,1498,1099
500,6004_0105,1793,609,2320,1078,1864,1570,1498,1099
500,6004_0108,1793,609,2320,1078,1864,1570,1498,1099
500,6004_0111,1793,609,2320,1080,1866,1571,1498,1099
500,6004_0114,1793,609,2321,1080,1866,1571,1498,1099
500,6004_0117,1793,609,2321,1080,1866,1571,1498,1099
500,6004_0120,1793,610,2321,1080,1866,1571,1498,1099
500,6004_0123,1793,610,2321,1080,1866,1571,1498,1099
500,6004_0126,1793,610,2321,1080,1866,1571,1498,1102
500,6004_0129,1793,611,2320,1080,1866,1572,1498,1101
500,6004_0132,1792,611,2320,1080,1866,1572,1498,1101
500,6004_0135,1792,611,2320,1080,1865,1572,1497,1101
500,6004_0138,1792,611,2320,1080,1865,1572,1497,1101
500,6004_0141,1791,612,2319,1080,1863,1571,1497,1104
500,6004_0144,1791,612,2319,1080,1863,1571,1497,1104
500,6004_0147,1791,612,2319,1080,1863,1571,1497,1103
500,6004_0150,1791,612,2319,1080,1863,1572,1497,1103
500,6004_0153,1791,612,2319,1080,1863,1572,1497,1103
500,6004_0156,1791,612,2319,1080,1863,1573,1497,1103
500,6004_0159,1791,612,2319,1080,1864,1573,1497,1103
500,6004_0162,1791,612,2319,1080,1864,1573,1497,1103
500,6004_0165,1792,613,2319,1080,1864,1573,1497,1103
500,6004_0168,1792,613,2319,1080,1864,1573,1497,1103
