recordingId,frame,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y
500,1015_0000,1837,685,2699,1250,1852,1739,1472,1160
500,1015_0003,1837,685,2699,1250,1853,1739,1472,1160
500,1015_0006,1837,685,2699,1250,1852,1739,1472,1160
500,1015_0009,1837,685,2699,1250,1852,1739,1472,1161
500,1015_0012,1837,685,2699,1250,1852,1739,1472,1161
500,1015_0015,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0018,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0021,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0024,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0027,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0030,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0033,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0036,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0039,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0042,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0045,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0048,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0051,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0054,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0057,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0060,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0063,1836,685,2699,1252,1852,1740,1470,1161
500,1015_0066,1836,685,2700,1250,1852,1740,1470,1161
500,1015_0069,1836,685,2700,1250,1852,1740,1470,1161
500,1015_0072,1836,685,2700,1250,1852,1740,1470,1161
500,1015_0075,1836,685,2700,1250,1852,1740,1470,1161
500,1015_0078,1836,685,2700,1250,1852,1740,1470,1161
500,1015_0081,1836,685,2700,1250,1852,1740,1470,1161
500,1015_0084,1836,685,2700,1250,1852,1740,1470,1161
500,1015_0087,1836,685,2699,1250,1852,1740,1470,1161
500,1015_0090,1836,685,2699,1250,1852,1740,1470,1161
500,1015_0093,1836,685,2699,1250,1852,1740,1470,1161
