recordingId,frame,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y
500,3001_0000,1298,634,1804,1098,1428,1511,937,948
500,3001_0003,1297,634,1802,1096,1430,1507,938,949
500,3001_0006,1298,634,1804,1098,1426,1511,937,948
500,3001_0009,1298,634,1805,1099,1426,1511,937,948
500,3001_0012,1298,634,1804,1099,1426,1511,937,948
500,3001_0015,1298,634,1804,1099,1426,1511,937,948
500,3001_0018,1298,634,1804,1099,1426,1511,937,948
500,3001_0021,1298,634,1804,1099,1426,1511,937,948
500,3001_0024,1298,634,1806,1098,1426,1511,937,948
500,3001_0027,1298,634,1806,1098,1430,1510,937,948
500,3001_0030,1299,633,1807,1098,1430,1510,937,948
500,3001_0033,1299,633,1807,1098,1430,1510,937,948
500,3001_0036,1302,634,1809,1097,1432,1511,941,948
500,3001_0039,1302,634,1809,1097,1432,1511,941,948
500,3001_0042,1302,634,1809,1097,1432,1511,941,948
500,3001_0045,1303,633,1810,1097,1435,1511,941,948
500,3001_0048,1303,633,1811,1097,1436,1510,941,948
500,3001_0051,1303,633,1811,1097,1436,1510,941,948
500,3001_0054,1303,633,1811,1097,1436,1510,941,948
500,3001_0057,1303,633,1813,1097,1436,1510,941,948
500,3001_0060,1303,633,1813,1097,1436,1510,942,948
500,3001_0063,1305,633,1813,1097,1437,1511,943,948
500,3001_0066,1305,633,1813,1097,1437,1511,943,948
500,3001_0069,1305,633,1813,1097,1437,1511,943,948
500,3001_0072,1305,633,1815,1099,1437,1511,947,947
500,3001_0075,1305,633,1817,1097,1439,1514,943,948
500,3001_0078,1305,633,1817,1099,1437,1511,947,950
500,3001_0081,1308,634,1816,1098,1440,1512,952,950
500,3001_0084,1308,634,1818,1099,1440,1512,952,950
500,3001_0087,1308,634,1818,1099,1440,1512,952,950
500,3001_0090,1311,637,1820,1100,1442,1516,951,953
500,3001_0093,1308,634,1818,1099,1444,1516,951,953
500,3001_0096,1308,634,1820,1099,1444,1516,951,953
500,3001_0099,1308,634,1820,1099,1444,1516,951,953
500,3001_0102,1308,634,1820,1099,1444,1516,951,953
500,3001_0105,1310,637,1820,1102,1443,1515,951,954
500,3001_0108,1310,637,1820,1102,1443,1515,951,954
500,3001_0111,1310,637,1820,1102,1443,1515,951,954
500,3001_0114,1310,637,1820,1102,1443,1515,951,954
500,3001_0117,1310,637,1820,1102,1443,1515,951,954
500,3001_0120,1310,637,1820,1102,1443,1515,951,954
500,3001_0123,1310,637,1821,1103,1443,1515,951,954
500,3001_0126,1310,637,1821,1103,1443,1515,951,954
500,3001_0129,1310,637,1821,1103,1446,1517,951,954
500,3001_0132,1310,637,1823,1104,1446,1517,951,954
500,3001_0135,1310,637,1823,1104,1446,1517,951,954
500,3001_0138,1312,639,1823,1104,1446,1517,951,954
500,3001_0141,1312,639,1823,1104,1446,1517,951,954
500,3001_0144,1312,639,1823,1104,1446,1517,951,954
500,3001_0147,1312,639,1821,1104,1446,1517,951,954
500,3001_0150,1312,639,1821,1104,1446,1517,951,954
500,3001_0153,1312,639,1821,1104,1446,1517,951,954
500,3001_0156,1312,639,1821,1104,1446,1517,951,954
500,3001_0159,1312,639,1821,1104,1446,1517,951,954
500,3001_0162,1312,639,1821,1104,1446,1517,951,954
500,3001_0165,1312,639,1821,1104,1446,1517,951,954
500,3001_0168,1312,639,1821,1104,1446,1517,951,954
500,3001_0171,1312,639,1821,1104,1446,1517,951,954
500,3001_0174,1312,639,1821,1104,1446,1517,951,954
500,3001_0177,1312,639,1821,1104,1446,1517,951,954
500,3001_0180,1312,639,1821,1104,1446,1517,951,954
500,3001_0183,1312,639,1821,1104,1446,1517,951,954
500,3001_0186,1312,639,1821,1104,1446,1517,951,954
500,3001_0189,1312,639,1821,1104,1446,1517,951,954
500,3001_0192,1312,639,1821,1104,1446,1517,951,954
500,3001_0195,1312,639,1821,1104,1446,1517,951,954
500,3001_0198,1311,641,1820,1108,1442,1522,950,961
500,3001_0201,1311,641,1819,1108,1442,1522,950,961
500,3001_0204,1305,643,1818,1107,1442,1522,946,961
500,3001_0207,1305,643,1816,1107,1440,1524,946,961
500,3001_0210,1305,643,1815,1107,1438,1524,944,961
500,3001_0213,1305,643,1813,1107,1438,1524,944,961
500,3001_0216,1305,643,1813,1107,1438,1524,944,961
500,3001_0219,1302,643,1808,1107,1434,1524,940,961
500,3001_0222,1302,643,1808,1107,1434,1524,940,961
500,3001_0225,1302,643,1808,1107,1434,1524,940,961
500,3001_0228,1302,643,1808,1107,1434,1524,940,961
500,3001_0231,1298,644,1807,1108,1432,1527,937,962
500,3001_0234,1298,644,1807,1108,1432,1527,937,962
500,3001_0237,1298,644,1807,1108,1432,1527,937,962
500,3001_0240,1298,644,1807,1108,1432,1527,937,962
500,3001_0243,1298,644,1807,1108,1432,1527,937,962
500,3001_0246,1298,644,1807,1108,1432,1527,937,962
500,3001_0249,1298,644,1807,1108,1432,1527,937,962
500,3001_0252,1298,644,1807,1108,1432,1527,937,962
500,3001_0255,1298,644,1807,1108,1432,1527,937,962
500,3001_0258,1298,644,1807,1108,1432,1527,937,962
500,3001_0261,1298,644,1811,1111,1432,1527,939,965
500,3001_0264,1298,644,1811,1111,1432,1527,939,965
500,3001_0267,1298,644,1811,1111,1432,1527,939,965
500,3001_0270,1298,644,1812,1111,1437,1528,939,965
500,3001_0273,1298,644,1812,1111,1437,1528,939,965
500,3001_0276,1298,644,1812,1111,1437,1528,939,965
500,3001_0279,1298,644,1812,1111,1437,1528,939,965
500,3001_0282,1298,644,1812,1111,1437,1528,939,965
500,3001_0285,1298,644,1812,1111,1437,1528,939,965
500,3001_0288,1298,644,1812,1111,1437,1528,939,965
500,3001_0291,1298,644,1812,1111,1437,1528,939,965
500,3001_0294,1298,644,1812,1111,1437,1528,939,965
500,3001_0297,1298,644,1812,1111,1437,1528,939,965
500,3001_0300,1298,644,1812,1111,1437,1528,939,965
500,3001_0303,1298,644,1812,1111,1437,1528,939,965
500,3001_0306,1298,644,1812,1111,1437,1528,939,965
500,3001_0309,1298,644,1812,1111,1437,1528,939,965
500,3001_0312,1297,645,1810,1112,1434,1530,937,967
500,3001_0315,1297,645,1810,1112,1434,1530,937,967
500,3001_0318,1297,645,1810,1112,1434,1530,937,967
500,3001_0321,1297,645,1810,1112,1434,1530,937,967
500,3001_0324,1296,646,1807,1112,1431,1530,935,967
500,3001_0327,1296,646,1807,1112,1431,1530,935,967
500,3001_0330,1296,646,1807,1112,1431,1530,935,967
500,3001_0333,1290,647,1805,1112,1428,1530,928,967
500,3001_0336,1290,647,1802,1113,1426,1530,928,967
500,3001_0339,1290,647,1802,1113,1426,1530,928,967
500,3001_0342,1287,646,1799,1112,1422,1531,925,967
500,3001_0345,1284,646,1796,1112,1422,1531,925,967
500,3001_0348,1284,646,1796,1112,1422,1531,925,967
500,3001_0351,1284,646,1794,1112,1416,1530,919,968
500,3001_0354,1284,646,1794,1112,1416,1530,919,968
500,3001_0357,1280,646,1792,1112,1416,1530,916,967
500,3001_0360,1278,646,1791,1111,1414,1530,916,967
500,3001_0363,1275,646,1789,1111,1413,1530,916,967
500,3001_0366,1272,646,1788,1111,1412,1530,913,968
500,3001_0369,1272,646,1788,1111,1412,1530,913,968
500,3001_0372,1268,645,1784,1111,1404,1530,909,967
500,3001_0375,1268,645,1784,1111,1404,1530,909,967
500,3001_0378,1268,645,1784,1111,1404,1530,909,967
500,3001_0381,1268,645,1782,1110,1404,1530,907,967
500,3001_0384,1268,645,1782,1110,1404,1530,907,967
500,3001_0387,1268,645,1782,1110,1404,1530,907,967
500,3001_0390,1262,645,1778,1110,1401,1530,904,967
500,3001_0393,1262,645,1778,1110,1401,1530,904,967
500,3001_0396,1262,645,1778,1110,1401,1530,904,967
500,3001_0399,1262,645,1776,1110,1401,1530,904,967
500,3001_0402,1261,646,1776,1111,1398,1529,900,965
500,3001_0405,1261,646,1776,1111,1398,1529,900,965
500,3001_0408,1261,646,1774,1111,1398,1529,900,965
500,3001_0411,1261,646,1773,1111,1398,1529,900,969
500,3001_0414,1261,646,1772,1111,1398,1529,896,965
500,3001_0417,1261,646,1772,1111,1398,1529,896,965
500,3001_0420,1254,646,1769,1111,1393,1528,894,967
500,3001_0423,1254,646,1769,1111,1393,1528,894,967
500,3001_0426,1254,646,1769,1111,1393,1528,894,967
500,3001_0429,1254,646,1769,1111,1393,1528,894,967
500,3001_0432,1254,646,1769,1111,1393,1528,894,967
500,3001_0435,1254,646,1767,1112,1393,1528,894,967
500,3001_0438,1254,646,1766,1111,1393,1528,894,967
500,3001_0441,1254,646,1766,1111,1393,1528,894,967
500,3001_0444,1251,645,1766,1111,1389,1529,890,967
500,3001_0447,1251,645,1766,1111,1389,1529,890,967
500,3001_0450,1251,645,1766,1111,1389,1529,890,967
500,3001_0453,1251,645,1766,1111,1389,1529,890,967
500,3001_0456,1249,645,1763,1109,1387,1528,887,966
500,3001_0459,1249,645,1763,1109,1387,1528,887,966
500,3001_0462,1249,645,1763,1109,1387,1528,887,966
500,3001_0465,1249,645,1763,1109,1387,1528,887,966
500,3001_0468,1249,645,1763,1109,1387,1528,887,966
500,3001_0471,1249,645,1763,1109,1387,1528,887,966
500,3001_0474,1249,645,1763,1109,1387,1528,887,966
500,3001_0477,1248,643,1760,1109,1384,1529,884,966
500,3001_0480,1248,643,1760,1109,1384,1529,884,966
500,3001_0483,1248,643,1760,1109,1384,1529,884,966
500,3001_0486,1248,643,1760,1109,1384,1529,884,966
500,3001_0489,1245,644,1758,1107,1383,1528,882,965
500,3001_0492,1245,644,1758,1107,1383,1528,882,965
500,3001_0495,1245,644,1758,1107,1383,1528,882,965
500,3001_0498,1245,644,1758,1107,1383,1528,882,965
500,3001_0500,1245,644,1758,1107,1383,1528,882,965
500,3001_0503,1245,644,1758,1107,1383,1528,882,965
500,3001_0506,1242,644,1756,1107,1383,1528,879,965
500,3001_0509,1242,644,1756,1107,1383,1528,879,965
500,3001_0512,1242,644,1756,1107,1383,1528,879,965
500,3001_0515,1242,644,1756,1107,1383,1528,879,965
500,3001_0518,1242,644,1756,1107,1383,1528,879,965
500,3001_0521,1242,644,1756,1107,1383,1528,879,965
500,3001_0524,1242,644,1756,1107,1383,1528,879,965
500,3001_0527,1242,644,1756,1107,1383,1528,879,965
500,3001_0530,1242,644,1756,1107,1383,1528,879,965
500,3001_0533,1242,644,1756,1107,1383,1528,879,965
500,3001_0536,1245,644,1758,1107,1383,1528,882,965
